strain,protein,orf,pav,cnv,n_obs_strain,n_obs_other,frac_obs_strain,frac_obs_other,mean_strain,mean_other,delta,delta_frac_obs
BAH,ADH1,YOL086C,1,0.5,1492,4428,1.0,1.0,30.18901252746582,29.742420196533203,0.4465923309326172,0.0
BAH,ADH2,YMR303C,0,0.0,1471,4158,0.9859249329758714,0.9390243902439024,24.446914672851562,25.024282455444336,-0.5773677825927734,0.046900542731968975
BAH,ADH3,YMR083W,1,1.0,1492,4426,1.0,0.9995483288166215,25.435771942138672,25.19477653503418,0.2409954071044922,0.0004516711833785214
BAH,ADH4,YGL256W,1,1.0,1492,4428,1.0,1.0,27.908823013305664,25.489273071289062,2.4195499420166016,0.0
BAH,ADH5,YBR145W,1,1.0,1464,4276,0.9812332439678284,0.9656729900632339,21.90121841430664,21.167190551757812,0.7340278625488281,0.015560253904594479
BAH,ADH6,YMR318C,1,1.0,1492,4425,1.0,0.9993224932249323,24.87996482849121,24.42131996154785,0.4586448669433594,0.0006775067750677266
BAH,ADH7,YCR105W,1,1.0,1035,1658,0.6936997319034852,0.3744354110207769,21.72340965270996,25.00067901611328,-3.2772693634033203,0.31926432088270834
BAH,ADI1,YMR009W,1,1.0,1129,4311,0.7567024128686327,0.9735772357723578,19.392183303833008,21.146493911743164,-1.7543106079101562,-0.21687482290372506
BAH,ADK1,YDR226W,1,1.0,1492,4428,1.0,1.0,27.746784210205078,27.274972915649414,0.47181129455566406,0.0
BAH,ADK2,YER170W,1,1.0,1347,3242,0.9028150134048257,0.7321589882565492,20.52629852294922,20.462627410888672,0.06367111206054688,0.1706560251482765
BAH,ADO1,YJR105W,1,1.0,1492,4428,1.0,1.0,26.294506072998047,25.9656982421875,0.3288078308105469,0.0
BAH,ADP1,YCR011C,1,1.0,1428,4318,0.9571045576407506,0.9751580849141824,20.588459014892578,20.983728408813477,-0.39526939392089844,-0.01805352727343179
BAH,ADR1,YDR216W,1,1.0,1335,4363,0.8947721179624665,0.9853206865401988,20.910417556762695,21.323400497436523,-0.4129829406738281,-0.0905485685777323
BAH,ADY2,YCR010C,1,1.0,721,2173,0.4832439678284182,0.49074074074074076,23.264249801635742,23.69055938720703,-0.42630958557128906,-0.007496772912322536
BAH,ADY3,YDL239C,1,1.0,395,1525,0.26474530831099197,0.3443992773261066,19.524261474609375,19.618671417236328,-0.09440994262695312,-0.07965396901511462
BAH,AEP1,YMR064W,1,1.0,691,2034,0.4631367292225201,0.45934959349593496,17.67951011657715,17.735458374023438,-0.05594825744628906,0.0037871357265851224
BAH,AEP2,YMR282C,1,1.0,1149,3826,0.7701072386058981,0.8640469738030714,18.127464294433594,17.9951229095459,0.1323413848876953,-0.09393973519717325
BAH,AEP3,YPL005W,1,1.0,1087,3441,0.7285522788203753,0.7771002710027101,17.27770233154297,17.172903060913086,0.10479927062988281,-0.04854799218233474
BAH,AFG1,YEL052W,1,1.0,1092,4089,0.7319034852546917,0.9234417344173442,19.112871170043945,19.70500946044922,-0.5921382904052734,-0.1915382491626525
BAH,AFG2,YLR397C,1,1.0,1437,4328,0.9631367292225201,0.9774164408310749,22.951017379760742,22.76738166809082,0.18363571166992188,-0.01427971160855479
BAH,AFG3,YER017C,1,1.0,1467,4397,0.9832439678284183,0.9929990966576332,21.85149574279785,22.019428253173828,-0.16793251037597656,-0.00975512882921492
BAH,AFT1,YGL071W,1,1.0,1164,2995,0.7801608579088471,0.6763775971093045,17.74918556213379,17.339628219604492,0.4095573425292969,0.1037832607995427
BAH,AGC1,YPR021C,1,1.0,1324,4116,0.8873994638069705,0.9295392953929539,19.344078063964844,19.422470092773438,-0.07839202880859375,-0.042139831585983334
BAH,AGE1,YDR524C,1,1.0,555,1999,0.3719839142091153,0.4514453477868112,17.20946502685547,17.439647674560547,-0.23018264770507812,-0.07946143357769592
BAH,AGE2,YIL044C,1,1.0,1424,4093,0.9544235924932976,0.9243450767841012,19.90610694885254,19.39967918395996,0.5064277648925781,0.030078515709196396
BAH,AGP1,YCL025C,1,1.0,1482,4322,0.9932975871313673,0.9760614272809395,22.022241592407227,21.581321716308594,0.4409198760986328,0.017236159850427812
BAH,AGP2,YBR132C,1,1.0,237,1077,0.15884718498659517,0.24322493224932248,19.271745681762695,19.39765739440918,-0.12591171264648438,-0.08437774726272732
BAH,AGX1,YFL030W,1,1.0,1448,4413,0.9705093833780161,0.9966124661246613,22.21750831604004,23.05915641784668,-0.8416481018066406,-0.02610308274664519
BAH,AHA1,YDR214W,1,1.0,1491,4427,0.9993297587131368,0.9997741644083108,23.677221298217773,24.214881896972656,-0.5376605987548828,-0.0004444056951740105
BAH,AHP1,YLR109W,1,1.0,1492,4428,1.0,1.0,28.21470832824707,28.343097686767578,-0.1283893585205078,0.0
BAH,AIF1,YNR074C,1,1.0,1384,1543,0.9276139410187667,0.3484643179765131,20.157194137573242,19.553388595581055,0.6038055419921875,0.5791496230422536
BAH,AIM10,YER087W,1,1.0,1057,3649,0.7084450402144772,0.8240740740740741,19.124176025390625,19.442832946777344,-0.31865692138671875,-0.11562903385959689
BAH,AIM14,YGL160W,1,1.0,1419,4175,0.9510723860589813,0.9428635953026197,20.71714210510254,20.314146041870117,0.4029960632324219,0.008208790756361606
BAH,AIM17,YHL021C,1,1.0,1492,4428,1.0,1.0,24.1071834564209,24.4461612701416,-0.3389778137207031,0.0
BAH,AIM18,YHR198C,1,1.0,1304,4341,0.8739946380697051,0.9803523035230353,20.432138442993164,21.064163208007812,-0.6320247650146484,-0.10635766545333014
BAH,AIM19,YIL087C,1,1.0,1071,4188,0.717828418230563,0.94579945799458,19.731342315673828,20.746498107910156,-1.0151557922363281,-0.227971039764017
BAH,AIM2,YAL049C,1,1.0,1490,4427,0.9986595174262735,0.9997741644083108,23.29767417907715,24.38046646118164,-1.0827922821044922,-0.0011146469820373373
BAH,AIM21,YIR003W,1,1.0,1464,4393,0.9812332439678284,0.9920957542908763,21.121442794799805,21.41256332397461,-0.2911205291748047,-0.010862510323047858
BAH,AIM22,YJL046W,1,1.0,1264,3777,0.8471849865951743,0.8529810298102981,19.680334091186523,19.61347007751465,0.066864013671875,-0.005796043215123836
BAH,AIM23,YJL131C,1,1.0,919,3751,0.6159517426273459,0.8471093044263776,18.901662826538086,19.21206283569336,-0.31040000915527344,-0.23115756179903169
BAH,AIM25,YJR100C,1,1.0,1178,3995,0.789544235924933,0.9022131887985546,19.22599983215332,19.70120620727539,-0.4752063751220703,-0.11266895287362166
BAH,AIM29,YKR074W,1,1.0,1461,4367,0.9792225201072386,0.9862240289069557,23.252782821655273,23.174518585205078,0.07826423645019531,-0.00700150879971706
BAH,AIM3,YBR108W,1,1.0,1199,4367,0.8036193029490617,0.9862240289069557,19.532995223999023,20.71988868713379,-1.1868934631347656,-0.182604725957894
BAH,AIM32,YML050W,1,1.0,830,2788,0.5563002680965148,0.6296296296296297,18.933988571166992,18.71404266357422,0.21994590759277344,-0.07332936153311487
BAH,AIM36,YMR157C,1,1.0,1405,4350,0.9416890080428955,0.9823848238482384,21.266422271728516,21.36385726928711,-0.09743499755859375,-0.04069581580534298
BAH,AIM39,YOL053W,1,1.0,1124,3930,0.7533512064343163,0.8875338753387534,20.47565269470215,20.647165298461914,-0.17151260375976562,-0.13418266890443709
BAH,AIM41,YOR215C,1,1.0,1416,4319,0.9490616621983914,0.9753839205058717,21.85303497314453,22.847299575805664,-0.9942646026611328,-0.026322258307480362
BAH,AIM45,YPR004C,1,1.0,1461,4352,0.9792225201072386,0.982836495031617,22.115291595458984,22.324512481689453,-0.20922088623046875,-0.003613974924378316
BAH,AIM46,YHR199C,1,1.0,1463,4354,0.9805630026809652,0.9832881662149955,21.403345108032227,22.1507625579834,-0.7474174499511719,-0.002725163534030295
BAH,AIM6,YDL237W,1,1.0,1413,4233,0.9470509383378016,0.9559620596205962,20.700916290283203,20.81080436706543,-0.10988807678222656,-0.008911121282794587
BAH,AIM7,YDR063W,1,1.0,1486,4409,0.9959785522788204,0.9957091237579042,23.23504066467285,23.29046630859375,-0.05542564392089844,0.00026942852091615954
BAH,AIM9,YER080W,1,1.0,1490,4419,0.9986595174262735,0.9979674796747967,23.031349182128906,23.35205078125,-0.32070159912109375,0.0006920377514767484
BAH,AIP1,YMR092C,1,1.0,1492,4427,1.0,0.9997741644083108,24.00776481628418,24.43320083618164,-0.42543601989746094,0.0002258355916892052
BAH,AIR1,YIL079C,1,1.0,797,2340,0.5341823056300268,0.5284552845528455,16.98335838317871,16.97761344909668,0.00574493408203125,0.00572702107718126
BAH,AIR2,YDL175C,1,1.0,1424,4258,0.9544235924932976,0.9616079494128275,19.301483154296875,19.15372085571289,0.14776229858398438,-0.0071843569195298995
BAH,AKL1,YBR059C,1,1.0,1438,4357,0.9638069705093834,0.9839656729900632,20.889318466186523,21.130794525146484,-0.24147605895996094,-0.020158702480679858
BAH,AKR1,YDR264C,1,1.0,1470,4376,0.985254691689008,0.988256549232159,21.00379753112793,21.162446975708008,-0.15864944458007812,-0.0030018575431509653
BAH,AKR2,YOR034C,1,1.0,525,1202,0.35187667560321717,0.27145438121047877,16.86595344543457,16.922557830810547,-0.05660438537597656,0.0804222943927384
BAH,ALA1,YOR335C,1,1.0,1261,3756,0.8451742627345844,0.8482384823848238,25.809616088867188,25.402069091796875,0.4075469970703125,-0.003064219650239397
BAH,ALB1,YJL122W,1,1.0,1480,4388,0.9919571045576407,0.99096657633243,22.517797470092773,22.09681510925293,0.42098236083984375,0.0009905282252107295
BAH,ALD2,YMR170C,1,0.5,1488,4413,0.9973190348525469,0.9966124661246613,21.951786041259766,23.19551658630371,-1.2437305450439453,0.0007065687278856592
BAH,ALD3,YMR169C,1,0.5,1485,4427,0.9953083109919572,0.9997741644083108,22.464801788330078,25.18024253845215,-2.7154407501220703,-0.004465853416353638
BAH,ALD4,YOR374W,1,1.0,1492,4428,1.0,1.0,25.825214385986328,26.935562133789062,-1.1103477478027344,0.0
BAH,ALD5,YER073W,1,1.0,1488,4408,0.9973190348525469,0.995483288166215,23.275558471679688,22.532413482666016,0.7431449890136719,0.0018357466863319072
BAH,ALD6,YPL061W,1,1.0,1492,4428,1.0,1.0,28.03266716003418,27.160192489624023,0.8724746704101562,0.0
BAH,ALE1,YOR175C,1,1.0,1420,4285,0.9517426273458445,0.9677055103884372,21.700660705566406,21.814815521240234,-0.11415481567382812,-0.015962883042592746
BAH,ALG1,YBR110W,1,1.0,1481,4383,0.9926273458445041,0.9898373983739838,20.85431671142578,20.806089401245117,0.04822731018066406,0.0027899474705203042
BAH,ALG11,YNL048W,1,1.0,1433,4327,0.960455764075067,0.9771906052393857,20.35053253173828,20.531509399414062,-0.18097686767578125,-0.01673484116431867
BAH,ALG12,YNR030W,1,1.0,1469,4365,0.9845844504021448,0.9857723577235772,21.97248077392578,21.9108829498291,0.06159782409667969,-0.0011879073214323688
BAH,ALG13,YGL047W,1,1.0,972,3255,0.6514745308310992,0.7350948509485095,19.20120620727539,19.298507690429688,-0.09730148315429688,-0.08362032011741027
BAH,ALG14,YBR070C,1,1.0,398,1922,0.2667560321715818,0.4340560072267389,19.39031410217285,19.547550201416016,-0.15723609924316406,-0.16729997505515715
BAH,ALG2,YGL065C,1,1.0,1442,4276,0.9664879356568364,0.9656729900632339,20.709718704223633,20.715742111206055,-0.006023406982421875,0.0008149455936025118
BAH,ALG3,YBL082C,1,1.0,628,2054,0.42091152815013405,0.46386630532971995,17.699928283691406,17.83202362060547,-0.1320953369140625,-0.0429547771795859
BAH,ALG5,YPL227C,1,1.0,1433,4314,0.960455764075067,0.9742547425474255,19.78514289855957,19.4722957611084,0.3128471374511719,-0.013798978472358447
BAH,ALG6,YOR002W,1,1.0,1214,3774,0.8136729222520107,0.8523035230352304,20.28577423095703,20.267677307128906,0.018096923828125,-0.03863060078321967
BAH,ALG8,YOR067C,1,1.0,1062,3611,0.7117962466487936,0.8154923215898826,17.684988021850586,17.97139549255371,-0.286407470703125,-0.10369607494108901
BAH,ALG9,YNL219C,1,1.0,1482,4384,0.9932975871313673,0.990063233965673,22.922990798950195,22.669527053833008,0.2534637451171875,0.0032343531656943147
BAH,ALK1,YGL021W,1,1.0,720,1216,0.48257372654155495,0.27461607949412825,15.859025001525879,15.775339126586914,0.08368587493896484,0.2079576470474267
BAH,ALK2,YBL009W,1,1.0,499,847,0.3344504021447721,0.19128274616079494,16.163602828979492,15.72652816772461,0.4370746612548828,0.14316765598397718
BAH,ALO1,YML086C,1,1.0,1491,4421,0.9993297587131368,0.9984191508581752,23.683717727661133,23.706958770751953,-0.023241043090820312,0.0009106078549615537
BAH,ALR1,YOL130W,1,1.0,1198,3457,0.8029490616621984,0.780713640469738,17.65769386291504,17.561281204223633,0.09641265869140625,0.02223542119246036
BAH,ALT1,YLR089C,1,1.0,1492,4415,1.0,0.9970641373080398,24.305444717407227,24.219064712524414,0.0863800048828125,0.0029358626919602226
BAH,ALT2,YDR111C,1,1.0,1302,2640,0.8726541554959786,0.5962059620596206,19.846738815307617,19.25762367248535,0.5891151428222656,0.27644819343635796
BAH,ALY1,YKR021W,1,1.0,1328,4026,0.8900804289544236,0.9092140921409214,18.643062591552734,18.75705337524414,-0.11399078369140625,-0.019133663186497785
BAH,ALY2,YJL084C,1,1.0,1114,4061,0.7466487935656837,0.9171183378500452,18.61553192138672,18.82775115966797,-0.21221923828125,-0.17046954428436145
BAH,AMD1,YML035C,1,1.0,1487,4416,0.9966487935656837,0.997289972899729,22.473756790161133,22.51723861694336,-0.04348182678222656,-0.0006411793340452832
BAH,AME1,YBR211C,1,1.0,1045,3822,0.7004021447721179,0.8631436314363143,17.96651840209961,18.236303329467773,-0.26978492736816406,-0.1627414866641964
BAH,AMS1,YGL156W,1,1.0,1492,4426,1.0,0.9995483288166215,22.92853546142578,23.363723754882812,-0.43518829345703125,0.0004516711833785214
BAH,ANB1,YJR047C,1,1.0,899,3968,0.6025469168900804,0.8961156278229448,22.06669807434082,21.540555953979492,0.5261421203613281,-0.2935687109328644
BAH,ANP1,YEL036C,1,1.0,1484,4412,0.9946380697050938,0.996386630532972,22.42059326171875,22.23954200744629,0.18105125427246094,-0.0017485608278782205
BAH,ANR2,YKL047W,1,1.0,1342,4274,0.8994638069705094,0.9652213188798555,19.788475036621094,20.622220993041992,-0.8337459564208984,-0.06575751190934609
BAH,ANT1,YPR128C,1,1.0,1443,4340,0.9671581769436998,0.980126467931346,21.154783248901367,21.112558364868164,0.042224884033203125,-0.01296829098764618
BAH,ANY1,YMR010W,1,1.0,409,1177,0.27412868632707776,0.26580849141824753,17.55252456665039,17.471040725708008,0.08148384094238281,0.008320194908830236
BAH,AOS1,YPR180W,1,1.0,1444,4348,0.967828418230563,0.98193315266486,21.291828155517578,21.464210510253906,-0.17238235473632812,-0.01410473443429705
BAH,APA1,YCL050C,1,1.0,1490,4421,0.9986595174262735,0.9984191508581752,24.924983978271484,24.802186965942383,0.12279701232910156,0.00024036656809822698
BAH,APA2,YDR530C,1,1.0,1152,2593,0.7721179624664879,0.5855916892502259,19.25395393371582,19.16927719116211,0.08467674255371094,0.18652627321626203
BAH,APC1,YNL172W,1,1.0,946,3284,0.6340482573726541,0.7416440831074977,16.680509567260742,16.633197784423828,0.04731178283691406,-0.10759582573484361
BAH,APD1,YBR151W,1,1.0,1475,4395,0.9886058981233244,0.9925474254742548,21.49403953552246,21.267559051513672,0.22648048400878906,-0.003941527350930341
BAH,APE1,YKL103C,1,1.0,1492,4428,1.0,1.0,24.949329376220703,25.397724151611328,-0.448394775390625,0.0
BAH,APE2,YKL157W,1,1.0,1492,4427,1.0,0.9997741644083108,24.185457229614258,24.596464157104492,-0.4110069274902344,0.0002258355916892052
BAH,APE3,YBR286W,1,1.0,1487,4419,0.9966487935656837,0.9979674796747967,23.705493927001953,24.71515464782715,-1.0096607208251953,-0.0013186861091130098
BAH,APE4,YHR113W,1,1.0,1492,4424,1.0,0.999096657633243,23.069665908813477,23.32919692993164,-0.25953102111816406,0.0009033423667570428
BAH,APJ1,YNL077W,1,1.0,827,2211,0.5542895442359249,0.4993224932249323,15.545398712158203,15.80241584777832,-0.2570171356201172,0.05496705101099264
BAH,APL1,YJR005W,1,1.0,1449,4339,0.9711796246648794,0.9799006323396567,21.58962059020996,21.716941833496094,-0.1273212432861328,-0.008721007674777348
BAH,APL2,YKL135C,1,1.0,1480,4393,0.9919571045576407,0.9920957542908763,21.400999069213867,21.361774444580078,0.03922462463378906,-0.00013864973323551855
BAH,APL3,YBL037W,1,1.0,1443,4349,0.9671581769436998,0.9821589882565492,20.85032081604004,21.010929107666016,-0.16060829162597656,-0.015000811312849471
BAH,APL4,YPR029C,1,1.0,1478,4409,0.9906166219839142,0.9957091237579042,22.322498321533203,22.215560913085938,0.10693740844726562,-0.00509250177399001
BAH,APL5,YPL195W,1,1.0,1460,4369,0.9785522788203753,0.9866757000903342,21.77901840209961,21.82682228088379,-0.04780387878417969,-0.008123421269958908
BAH,APL6,YGR261C,1,1.0,1460,4376,0.9785522788203753,0.988256549232159,21.138240814208984,21.212890625,-0.07464981079101562,-0.009704270411783678
BAH,APM1,YPL259C,1,1.0,1461,4362,0.9792225201072386,0.9850948509485095,21.32166862487793,21.25678253173828,0.06488609313964844,-0.005872330841270812
BAH,APM2,YHL019C,1,1.0,1245,3751,0.8344504021447721,0.8471093044263776,18.526084899902344,18.409378051757812,0.11670684814453125,-0.012658902281605489
BAH,APM3,YBR288C,1,1.0,1438,4314,0.9638069705093834,0.9742547425474255,20.800931930541992,20.880014419555664,-0.07908248901367188,-0.010447772038042147
BAH,APM4,YOL062C,1,1.0,1450,4364,0.9718498659517426,0.985546522131888,20.354530334472656,20.52309799194336,-0.16856765747070312,-0.013696656180145372
BAH,APN1,YKL114C,1,1.0,1482,4400,0.9932975871313673,0.993676603432701,21.306812286376953,21.542755126953125,-0.23594284057617188,-0.00037901630133374553
BAH,APN2,YBL019W,1,1.0,347,2499,0.23257372654155495,0.5643631436314364,16.938339233398438,17.0681209564209,-0.12978172302246094,-0.3317894170898814
BAH,APP1,YNL094W,1,1.0,260,1155,0.1742627345844504,0.260840108401084,14.995268821716309,15.157428741455078,-0.16215991973876953,-0.08657737381663361
BAH,APQ12,YIL040W,1,1.0,788,1935,0.5281501340482574,0.4369918699186992,17.683481216430664,17.092212677001953,0.5912685394287109,0.09115826412955819
BAH,APS1,YLR170C,1,1.0,1436,4287,0.9624664879356568,0.9681571815718157,20.645902633666992,20.57695198059082,0.06895065307617188,-0.005690693636158928
BAH,APS2,YJR058C,1,1.0,1452,4344,0.9731903485254692,0.981029810298103,21.394519805908203,21.486337661743164,-0.09181785583496094,-0.007839461772633838
BAH,APS3,YJL024C,1,1.0,1437,4342,0.9631367292225201,0.9805781391147245,21.522804260253906,21.614959716796875,-0.09215545654296875,-0.01744140989220433
BAH,APT1,YML022W,1,1.0,1490,4424,0.9986595174262735,0.999096657633243,24.288942337036133,24.265382766723633,0.0235595703125,-0.0004371402069694996
BAH,APT2,YDR441C,1,1.0,1001,4117,0.670911528150134,0.9297651309846432,20.17506217956543,21.347423553466797,-1.1723613739013672,-0.2588536028345092
BAH,AQR1,YNL065W,1,1.0,915,2350,0.6132707774798928,0.530713640469738,18.552595138549805,18.922758102416992,-0.3701629638671875,0.08255713701015477
BAH,AQY3,YFL054C,1,1.0,514,1420,0.3445040214477212,0.3206865401987353,17.15134620666504,17.122468948364258,0.02887725830078125,0.02381748124898586
BAH,ARA1,YBR149W,1,1.0,1492,4428,1.0,1.0,25.27081871032715,25.8287296295166,-0.5579109191894531,0.0
BAH,ARA2,YMR041C,1,1.0,530,4193,0.3552278820375335,0.9469286359530262,20.22480583190918,21.8259220123291,-1.6011161804199219,-0.5917007539154927
BAH,ARB1,YER036C,1,1.0,1492,4427,1.0,0.9997741644083108,26.08810043334961,25.72041893005371,0.36768150329589844,0.0002258355916892052
BAH,ARC1,YGL105W,1,1.0,1490,4421,0.9986595174262735,0.9984191508581752,25.534286499023438,25.28188705444336,0.2523994445800781,0.00024036656809822698
BAH,ARC15,YIL062C,1,1.0,1492,4425,1.0,0.9993224932249323,24.420835494995117,24.4886474609375,-0.06781196594238281,0.0006775067750677266
BAH,ARC18,YLR370C,1,1.0,1487,4406,0.9966487935656837,0.9950316169828365,23.944080352783203,24.03123664855957,-0.08715629577636719,0.0016171765828472129
BAH,ARC19,YKL013C,1,1.0,1491,4422,0.9993297587131368,0.9986449864498645,23.622726440429688,23.70207977294922,-0.07935333251953125,0.0006847722632722375
BAH,ARC35,YNR035C,1,1.0,1489,4423,0.9979892761394102,0.9988708220415538,24.222307205200195,24.29942512512207,-0.077117919921875,-0.0008815459021435101
BAH,ARC40,YBR234C,1,1.0,1492,4425,1.0,0.9993224932249323,23.592174530029297,23.82582664489746,-0.23365211486816406,0.0006775067750677266
